Index,Cat_Name,Scientific Name,Location,Genus,Family,Species,Bloom Time
21,fire lily,Gloriosa,"These are native in tropical and southern Africa to Asia, nd naturalised in Australia and the Pacific as well as being widely cultivated",Gloriosa; L,Colchicaceae,Approximately 12 different species,July to September
3,canterbury bells,Campanula medium,"It thrives in full sun to partial shades and appreciates moist, well-drainiing soil and reasonably cool temperatures , Native area- South africa",Campanula,Campanulaceae,C.medium,"Early summer, on average"
45,bolero deep blue,Eustoma russellianum,Native to warm regions of the southern United States and northern south America.,Eustoma,Gentianales,E.russellianum,Early May
1,pink primrose,Oenothera speciosa,Southeastern U.S. and is considered an attractive wildflower in many locations,Oenothera,Onagraceae,evening primrose,Lately spring to  early summer
34,mexican aster,Cosmos bipinnatus,Native to the Americas,Cosmos,Asteraceae,C.bipinnatus,Late summer
27,prince of wales feathers,Amaranthus hypochondriacus,"Originally from Maxico. It is grown as an ornamental worldwide, and is naturalized in many parts including the Himalayas",Ameranthus,Amaranthaceae,A. hypochondriacus,July to August
7,moon orchid,Phalenopsis amabilis,"Native to the East Indies and Australia, and widely cultivated as a decorative houseplan",Phalaenopsis,Orchidaceae,P.amabilis,spring to mid-february
16,globe-flower,Trollius,"Native to cool temperate regions of the Northern Hemisphere, with the greatest diversity of species in Asia, it usually grows in heavy, wet clay soils.",Trollius L,Ranunculaceae,T. europaeus,late spring to early summer
25,grape hyacinth,Muscari,"Native to north Africa, Eurasia, and the Mediterrananean basin",Muscari Mill,Asparagaceae,Approximately 40 different species,spring 
26,corn poppy,Papaver rhoeas,"Native to Europe, North Africa, Asia. It has been introduced into Australia, New Zealand, and North America and is one of the most commonly cultivated garden poppies",Papaver,Papaveranceae,P.rhoeas,May and June
79,toad lily,Tricyrtis hirta,"Native to ravines and woodland edges in Indais, Chiana, Japan, and other parts of Asia",Tricyrtis,Liliaceae,T.hirta,September to October
39,siam tulip,Curcuma alismatifolia,"It is a tropical plant native to Laos, northern Thailand, and Cambodia",Curcuma,Zingiberaceae,C.alismstifolia,Late Spring 
24,red ginger,Alpinia purpurata,"Hawaii, Trinidad, Grenada, St.Lucia",Alpinia,Zingiberaceae,A.purpurata,Winter
67,spring crocus,Crocus vernus,"Europe, North Africa, Asia",Crocus,Iridaceae,C.vernus,Spring
35,alpine sea holly,Eryngium alpinum,Central and southeastern Europe,Eryngium,Apiaceae,E.alpinum,Summer to fall(varies by species)
32,garden phlox,Phlox paniculata,"Native from New York to lowa south to Georgia, Mississippi and Arkansas",Phlox,polemoniaceae,P.paniculata,Mid-Summer
10,globe thistle,Echinops bannaticus,"Central  Asia, Southeastern and South central Europe",Echinops,Asteraceae,E.bannaticus,Early Summer and last upto 8 weeks
6,tiger lily,Lilium lancifolium,"Native to China, Japan, Korea and the Russian Far East",Lilium,Liliaceae,L.lancifolium,Mid-to late summer
93,ball moss,Tillilandsia recurvata,Warmer regions of the Americas; it ranges from the southern United States to northern Argentina and Chile,Tillandsia,Bromeliaceae,T. recurvata,"June, July, August"
33,love in the mist,Nigella damascena,"Native to Europe, North Africa, Asia",Nigella,Ranunculaceae,N.damascena,July to September; lasting for about 8 weeks
9,monkshood,Aconitum,Native to western and central Europe,Aconitum;L.,Ranunculaceae,Approximately 250 different species,Summer 
102,blackberry lily,Iris domestica,Native to East asia and naturaized in some parts of North America,Iris,Iridaceae,I.domestica,Mid-summer
14,spear thistle,Crisium vulgare,"Native of Europe, Aisa and North Africa. Naturalised around the world and over much of the wetter parts of Australia except in the Northern Territory and northern tropics.",Cirsium,Asteraceae,C.vulgare,June and July
19,balloon flower,Platycodon grandiflorus,Native to East asia,Platycodon; A.DC.,Campanulaceae,P.grandiflorus,Summer
100,blanket flower,Gailllardia,Native to North and South America,Gaillardia Foug,Asteraceae,Approximately 20 different species,Earli summer
13,king protea,Protea cynaroides,Southeastern and southern parts of South Africa,Protea,Proteales,P.cynaroides,June to August
49,oxeye daisy,leucanthemum vulgare,"the oxeye daisy is native to europe and the temperate region of asia,and an introduced plant to north america,australia and newzealand.",leucanthemum,asteraceae,L.vulgare,mid-spring to early summer 
15,yellow iris,iris pseudacorus ,"it is native to europe,western asia and north west africa.",iris,iridaceae ,I.pseudacorus,late spring to early summer
61,cautleya spicata,cautleya spicata,it is found in the himalayas through to china.,cautleya,zingiberaceae,C.spicata,early as june but more typically from july 
31,carnation,dianthus caryophyllus ,it is native to mediterranean area.,dianthus,caryophyllaceae,D.caryophyllus,"late sring,usually may"
64,silverbush,convolvulus cneorum,"the species is found in coastal areas of spain,italy,croatia and albania.",convolvulaceae,convolvulaceae,C.cneorum,summer
68,bearded iris,iris germanica,it is thought to be originated in mediterranean europe.,iris,Iridaceae ,I. × germanica,mid to late May
63,black-eyed susan,rudbeckia hirta,it is native to eastern and central north america and naturalized in the western part of the continent as well as in china.,Rudbeckia,Asteraceae,R. hirta,june to september 
69,windflower,anemonastrum,"it is native to the temprerate and subarctic region of north america,greenland,europe,asia,south america and newzealand.",Anemonastrum,Ranunculaceae,A. canadense,May-July
62,japanese anemone,anemone hupehensis ,"native to china,anemones have been cultivated in japan for hundreds of years.",anemone,Ranunculaceae,E. hupehensis,mid or late summer
20,giant white arum lily,zantedeschia aethiopica,"it is native to southern africa specifically lesotho,mozabique,south africa and swaziland.",Zantedeschia,Araceae,Z. aethiopica,late spring to mid-summer
38,great masterwort,astrantia major,it is native to central and eastern europe. ,Astrantia,Apiaceae,A. major,May to July
